site,classification,source_url,serp_appearance_examples,title_or_page_type,observed_structure,affiliate_or_referral_evidence,primary_cta_or_destination,html_observation,checked_on
taishoku-rank,A_confirmed_affiliate,https://taishoku-rank.com/,"失業保険 サポート おすすめ;失業保険 サポート 比較;失業保険 申請サポート おすすめ","失業保険給付金増額サポート 徹底比較ランキング","上位カード;制度説明;サポート理由;カード再掲","t.felmat.net と yorimichi.ac01.l-ad.net の送客URL",公式サイト,HTTP200;約63KB,2026-07-31
shitsugyo-hikaku,A_confirmed_affiliate,https://shitsugyo-hikaku.com/,"失業保険 サポート 比較;失業保険 申請サポート 比較","失業保険申請サポート比較ランキング","上位カード;比較表;制度説明;専門家・対応時間・実績の選び方","t.felmat.net と yorimichi.ac01.l-ad.net の送客URL;LINE LIFF",公式サイト,HTTP200;約59KB,2026-07-31
shitsugyouhoken-ranking,A_referral_site,https://shitsugyouhoken-ranking.jp/,"失業保険 サポート;失業保険 申請サポート;失業保険 申請 代行;比較・おすすめ・口コミ系","失業保険申請サービス比較サイト","制度説明;比較表;選び方;ランキング;FAQ","WEB広告等を事業内容に含む運営者表示;当サイトは紹介サービスを直接販売しない旨の免責;外部LINE LIFF",無料相談・公式サイト,比較・外部リンク型,2026-07-31
terracestaff,A_confirmed_affiliate,https://terracestaff.co.jp/hoken/taishokukyuhu-200/,退職給付金 200万,"退職給付金で200万円はどうやってもらう？","条件;退職理由・勤続年数・雇用形態;時期調整;注意点;手続;FAQ","af.fcmk.link の送客URL;affiliate-toolkitアセット",公式サイトからLINE無料相談,HTTP200;約296KB,2026-07-31
yokohama-info,B_referral_article,https://www.yokoinfo.jp/social-insurance-benefits-recommend/,"料金;おすすめ;比較;口コミ;怪しい;申請サポート","社会保険給付金サポートおすすめランキング","推奨サービス;返金保証・実績・士業;料金タイプ;損益分岐点;比較;個別口コミ","記事冒頭の広告表示;複数の公式LINE LIFF送客",公式LINEで受給額を確認,HTTP200;約384KB,2026-07-31
steady-retire,B_referral_article,https://steady-sr.com/retire/taishoku-kyufukin-osusume/,"一般語;料金;おすすめ;比較;口コミ;怪しい;退職リリーフ指名","退職給付金サポートおすすめ7社","推奨サービス;理由;料金;7社比較;4軸;FAQ","記事冒頭の広告・サービス比較表示;公式LINE LIFF送客",LINE無料診断・各社公式,HTTP200;約280KB,2026-07-31
sophia-worklab,B_referral_article,https://sophiacommunications.net/career/retirement-benefits-200-million/,"200万;300万;最大;サービス一般;口コミ;怪しい;退職リリーフ指名","退職給付金200万円は本当か？","早見表;制度の正体;条件;自己試算;注意;FAQ","退職コンシェルジュのLINE LIFF送客",LINE登録,HTTP200;約279KB,2026-07-31
apiro-tax,B_referral_article,https://apiro-tax.com/saimu/retirement-benefits-application-agency,"おすすめ;比較;口コミ;怪しい;200万;退職リリーフ指名","退職給付金のサポートをお願いするならどこがおすすめ？","制度の正体;サポート範囲;社労士の業務;11社比較;属性別診断","記事冒頭のPR表示;11社の公式サイト・診断へ送客",退職リリーフ無料診断ほか,HTTP200;約189KB,2026-07-31
stella-sc,B_referral_article,https://stella-sc.jp/yorimichi-reviews/,よりみち給付金サポート 口コミ,"よりみち給付金サポートは怪しい？","運営会社;特商法;最大額;料金;返金;制度改正;FAQ","退職コンシェルジュLINE LIFFへ送客",他社LINE相談,HTTP200;約206KB,2026-07-31
taisyokunokyoukasyo,B_referral_candidate,https://taisyokunokyoukasyo.com/kyuufu-co/taishoku-relief/,退職リリーフ 給付金,"退職リリーフ - 退職支援の教科書","概要;悩み;特徴;声;自己申請比較;注意;5ステップ;向く人;FAQ","広告主公式への外部送客。ASP URL・PR表示は今回未確認",退職リリーフ公式,HTTP200;約84KB,2026-07-31
wildcard,B_referral_candidate,https://wildcard.co.jp/1035/,よりみち給付金サポート 口コミ,"よりみち給付金サポートの口コミや評判","概要;口コミ;受給事例;条件;5ステップ;メリット・デメリット;比較;手続","yorimichi-ks.com/lp への外部送客。ASP URL・PR表示は今回未確認",よりみち公式LP,HTTP200;約164KB,2026-07-31
invitro,C_owned_content_excluded,https://invitro.co.jp/weblog/taisyoku/taishokusupports-review/,"一般語;料金;口コミ;怪しい;金額;時期;競合指名","退職サポーターズは怪しい？","仕組み;良い/悪い口コミ;料金;クーリングオフ;FAQ","同社の自社サービスを構造化データ・LINE送客に記載",自社LINE・自社フォーム,HTTP200;約316KB,2026-07-31
syoubyouteate,C_owned_content_excluded,https://syoubyouteate.com/2025/09/30/%E3%80%902025%E5%B9%B4%E6%9C%80%E6%96%B0%E3%80%91%E7%A4%BE%E4%BC%9A%E4%BF%9D%E9%99%BA%E7%B5%A6%E4%BB%98%E9%87%91%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%8810%E7%A4%BE%E3%82%92%E6%AF%94%E8%BC%83%EF%BD%9C/,"社会保険給付金 サポート;比較;おすすめ;退職リリーフ指名","社会保険給付金サポート10社比較","比較基準;ランキング;自社を1位;各社紹介;選び方","自社サービスをランキング第1位に配置",自社LINE・公式サイト,HTTP200;約198KB,2026-07-31
