site,url,title,entry_cta,observed_section_order,visible_numbers_or_price_claims,form_and_destination,observed_on
退職リリーフ,https://taishoku-relief.com/,退職リリーフ - 退職給付金(社会保険給付金)の無料診断・申請サポート,LINE無料診断,"不安;制度;セルフチェック;サポート;比較;声;流れ;FAQ;監修・コラム","料金は特商法ページに前払い298000円・後払い398000円等の表示",form 0; https://lin.ee/GjxwUdS,2026-07-30
失業保険サポート,https://shitsugyouhoken-support.com/,失業保険サポート,"無料WEB説明会;LINE相談","サービス説明;給付期間;悩み;解決;受給の流れ;金額;スタッフ;提携;声;FAQ;代表;説明会","給付月数10か月;最大250万円;退職日の約1か月後",form 0; 説明会・LINE導線,2026-07-30
未来退職,https://mirai-taishoku.com/,【全国対応】業界最安25,000円の退職給付申請サポート | 未来退職,"LINE友だち追加;給付額診断;申込み","切迫・退職時期;制度;金額;自己申請の失敗;料金比較;流れ;FAQ;支給決定報告;運営者","25000円;月給の約7割;満足度99.5%",form 1; LINE複数,2026-07-30
退職コンシェルジュ,https://www.taishoku-concierge.jp/kyufukin-support/,【最大28ヶ月分】退職後の生活費をプロが確保！社会保険給付金サポート,"WEB説明会;LINE相談","仕事の悩み;声;インタビュー;メリット;実績;給付までの流れ;適用条件;説明会概要","最大28か月分;利用者5000名以上（2016年9月〜）",form 0; LINE LIFF複数,2026-07-30
よりみち給付金サポート,https://yorimichi-ks.com/,よりみち給付金サポート | 退職する前に。失業保険の受給を専門家がサポート,LINE無料受給額診断,"短いLP;退職後の相談時期に関する質問","数値の主要表示は静的HTML抽出では未記録",form 0; LINE LIFF,2026-07-30
失業保険比較サイト,https://shitsugyouhoken-ranking.jp/,,"無料相談;公式サイト","制度説明;申請サポート説明;比較表;選び方;ランキング;FAQ","比較ページ内に紹介先の平均受給額・実績等の表示",比較・外部リンク型,2026-07-30
退職給付金申請サポート,https://r-support.work/,退職給付金申請サポート | 退職後に社会保険給付金で安定した生活を,LINE無料相談,"年間相談件数;悩み;制度;給付額例;自己申請の失敗;サポート内容;適用条件;比較;声","年間相談13000件以上;月の総支給額の約65%;最短60日;最長28か月",form 0; LINE,2026-07-30
YELL!!,https://pif-yell.jp/,YELL!!｜給付金サポート,"LINE相談;無料診断","サービス説明;退職後の不安;制度;声;5STEP;無料診断;FAQ;会社概要","数値は今回の見出し抽出では記録なし",form 1; LINE,2026-07-30
日本生活支援協会,https://jlsa-or.jp/,日本生活支援協会【公式】退職給付金サポート｜失業保険・傷病手当金の受給サポート,,"静的HTMLの見出し抽出では取得なし","数値は今回の静的HTML抽出では記録なし",form 0; 静的HTML約8KB,2026-07-30
全国退職者支援会,https://taishoku-support.com/,【弁護士監修】相談実績2万件|全国退職者支援会,"LINE相談;メール相談;申込み","運営・お知らせ;退職給付金解説;退職の悩み;相談できること;残業代請求;退職代行;給付金申請サポート;事例","相談実績2万件とのtitle表示",form 3; LINE・メール・申込み,2026-07-30
