seed_keyword,intent_cluster,source_class,reason_for_inclusion,risk_or_boundary,kwp_status,observed_at
解雇 失業保険 いつから,解雇・会社都合,official,MHLW離職理由の解雇等,会社都合化や給付増額を示唆しない,未取得,
会社都合 失業保険 いつから,解雇・会社都合,official,MHLW離職理由の解雇等,個別の離職理由判定はハローワーク,未取得,
会社都合 失業保険 いくら,解雇・会社都合,official,金額確認需要,金額保証をしない,未取得,
会社都合 失業保険 日数,解雇・会社都合,official,給付日数確認需要,給付日数保証をしない,未取得,
雇止め 失業保険,雇止め・契約満了,official,MHLWの有期契約更新非継続,特定理由等の判断を断定しない,未取得,
雇止め 失業保険 いつから,雇止め・契約満了,official,MHLWの有期契約更新非継続,個別の離職理由判定はハローワーク,未取得,
契約満了 失業保険,雇止め・契約満了,official,MHLWの有期契約更新非継続,雇止めと混同しない,未取得,
派遣 契約満了 失業保険,雇止め・契約満了,scenario,雇用形態別の契約満了,派遣元・更新状況で条件が変わる,未取得,
契約社員 契約満了 失業保険,雇止め・契約満了,scenario,雇用形態別の契約満了,更新状況で条件が変わる,未取得,
退職勧奨 失業保険,退職勧奨・事業縮小,official,MHLW離職区分3Aの例,会社都合を断定しない,未取得,
退職勧奨 失業保険 いつから,退職勧奨・事業縮小,official,MHLW離職区分3Aの例,個別の離職理由判定はハローワーク,未取得,
会社 倒産 失業保険,退職勧奨・事業縮小,official,MHLW特定受給資格者の倒産等,給付日数を保証しない,未取得,
事業所閉鎖 失業保険,退職勧奨・事業縮小,official,MHLW特定受給資格者の事業縮小・廃止,給付日数を保証しない,未取得,
自己都合 退職 失業保険,自己都合,official,MHLW基本手当Q&A,受給要件を断定しない,未取得,
自己都合 失業保険 いつから,自己都合,official,MHLW基本手当Q&A,受給開始の保証をしない,未取得,
自己都合 失業保険 待機期間,自己都合,official,ハローワークFAQ,制度の最新性を確認,未取得,
自己都合 失業保険 いくら,自己都合,official,金額確認需要,金額保証をしない,未取得,
退職前 失業保険,退職前後,existing_material,2026-07-22KWPスナップショットあり,過去数値は再確認,未取得,
退職後 失業保険,退職前後,scenario,退職後の手続き意図,個別条件を断定しない,未取得,
退職 失業保険 手続き,退職前後,existing_material,2026-07-22KWPスナップショットあり,過去数値は再確認,未取得,
退職 失業保険 申請,退職前後,scenario,手続き開始意図,行政手続を代行すると誤認させない,未取得,
退職後 生活費,退職前後,scenario,収入途絶の不安,生活保護等の別制度と混同しない,未取得,
離職票 いつ届く,離職票・事務,official,MHLW離職票Q&A,未着対応はハローワーク相談を案内,未取得,
離職票 届かない,離職票・事務,official,MHLW離職票Q&A,会社との法的紛争化は別サービス,未取得,
離職票 失業保険,離職票・事務,official,MHLW離職票Q&A,個別の書類条件を断定しない,未取得,
離職票 離職理由,離職票・事務,official,MHLW離職理由の最終判断,書類改変・虚偽の誘導は不可,未取得,
離職票 会社都合,離職票・事務,official,MHLW離職理由の最終判断,会社都合への変更を請け負わない,未取得,
配偶者 転勤 失業保険,やむを得ない事情,scenario,生活事情別需要,個別判定を断定しない,未取得,
介護 退職 失業保険,やむを得ない事情,scenario,生活事情別需要,個別判定を断定しない,未取得,
育児 退職 失業保険,やむを得ない事情,scenario,生活事情別需要,就労可能性と受給期間延長を混同しない,未取得,
通勤困難 退職 失業保険,やむを得ない事情,scenario,生活事情別需要,個別判定を断定しない,未取得,
会社移転 退職 失業保険,やむを得ない事情,scenario,生活事情別需要,個別判定を断定しない,未取得,
休職満了 退職 失業保険,休職・就労困難,official,MHLW労働条件サイト,受診・診断を誘導しない,未取得,
復職できない 退職 失業保険,休職・就労困難,scenario,休職満了の自然言語,就労可能性を断定しない,未取得,
体調不良 退職 給付金,休職・就労困難,existing_material,既存SERP材料で空白観測,受診・診断への誘導をしない,未取得,
失業保険 サポート,商材・比較,existing_material,2026-07-22KWPスナップショットあり,サポート内容と料金のCR必要,未取得,
失業保険 申請サポート,商材・比較,existing_material,アフィリエイト比較LP観測,行政の決定を保証しない,未取得,
退職給付金 サポート,商材・比較,existing_material,既存キーワード材料,受給額増額の示唆をしない,未取得,
退職給付金 相談,商材・比較,existing_material,既存キーワード材料,個別の受給可否を広告で断定しない,未取得,
失業保険 サポート 料金,商材・比較,existing_material,GoogleサジェストとSERP実査,料金は公式条件で確認,未取得,
失業保険 サポート 怪しい,商材・比較,existing_material,GoogleサジェストとSERP実査,否定比較・誹謗をしない,未取得,
失業保険 いくら,金額,scenario,金額確認需要,金額保証をしない,未取得,
退職 給付金 いくら,金額,scenario,金額確認需要,金額保証をしない,未取得,
退職給付金 200万,金額,existing_material,アフィリエイトLP金額訴求観測,CR承認まで広告文に使わない,未取得,
退職給付金 300万,金額,existing_material,アフィリエイトLP金額訴求観測,CR承認まで広告文に使わない,未取得,
退職給付金 最大,金額,existing_material,既存キーワード材料,最大額の根拠と条件をCR確認,未取得,
